year,q_raw,income_real,pchick,pbeef,pcor,pf,cpi,qproda,pop,meatex,time,price_chick_real,price_beef_real,price_corn_real,qc,y,pb,pc,pc2,pc3,pc_l1,pc2_l1,exp_pc,exp_pc2,exp_pc3,exp_pc_l1,exp_pc2_l1
1960,19.2,9210,52.4,33.5,46,0.5711322299969818,29.6,4333602,180.671,50,51,1.7702702702702702,1.1317567567567568,1.554054054054054,2.954910279033736,9.128045129249353,0.1237710775010061,0.44086703515908027,0.1943637426899577,0.08568856698214401,NA,NA,1.554054054054054,1.2145379819315798,1.0894669794763838,NA,NA
1961,20.6,9361,47.4,33,45.1,0.4607637483043901,29.9,4944130,183.691,49,52,1.585284280936455,1.1036789297658864,1.508361204013378,3.0252910757955354,9.144307401371744,0.09864908106983963,0.411023766111992,0.1689405363088855,0.06943857548265783,0.44086703515908027,0.1943637426899577,1.508361204013378,1.1840497288632277,1.0719062178605256,1.554054054054054,1.2145379819315798
1962,20.6,9666,50,34.2,44.8,0.5041810810473221,30.2,4997189,186.538,46,53,1.6556291390728477,1.1324503311258278,1.4834437086092715,3.0252910757955354,9.17636985240503,0.12438371968773553,0.39436621504011554,0.15552471156506664,0.06133369184512102,0.411023766111992,0.1689405363088855,1.4834437086092715,1.1682708055105717,1.063253654070659,1.508361204013378,1.1840497288632277
1963,21.1,9886,49.3,33.8,49.8,0.47692407209030924,30.6,5269019,189.242,80,54,1.611111111111111,1.1045751633986927,1.6274509803921566,3.0492730404820207,9.198874893866904,0.09946079353063787,0.487014975072272,0.2371835859446457,0.1155119581963837,0.39436621504011554,0.15552471156506664,1.6274509803921566,1.2676738235102707,1.1224479369208857,1.4834437086092715,1.1682708055105717
1964,21.3,10456,48.2,32.8,49.9,0.44137181657140845,31,5443769,191.889,78,55,1.5548387096774194,1.058064516129032,1.6096774193548387,3.0587070727153796,9.254931255304058,0.05644131090495163,0.4760337982723267,0.22660817709757825,0.10787315126332826,0.487014975072272,0.2371835859446457,1.6096774193548387,1.254338293170793,1.1139064387998439,1.6274509803921566,1.2676738235102707
1965,22.9,10965,49.8,34.4,51.8,0.4580274381990198,31.5,5871560,194.303,49,56,1.5809523809523809,1.092063492063492,1.6444444444444444,3.131136910560194,9.302463660851988,0.0880690185477652,0.49740260343384995,0.2474093499027718,0.12306205475551503,0.4760337982723267,0.22660817709757825,1.6444444444444444,1.2807032612463594,1.1309545998811927,1.6096774193548387,1.254338293170793
1966,24.5,11417,52.7,36.2,54.5,0.486457032749033,32.4,6437127,196.56,44,57,1.6265432098765433,1.117283950617284,1.682098765432099,3.1986731175506815,9.342858751676328,0.11090069603344174,0.5200422788709148,0.2704439718132543,0.14064229940866624,0.49740260343384995,0.2474093499027718,1.682098765432099,1.3105461671490288,1.1510128563607283,1.6444444444444444,1.2807032612463594
1967,25.1,11776,48.8,36.4,51.7,0.37917441287644676,33.4,6552305,198.712,45,58,1.4610778443113772,1.089820359281437,1.5479041916167666,3.2228678461377385,9.373818840968658,0.08601287466004018,0.4369018815317288,0.1908832540859648,0.08339725286305709,0.5200422788709148,0.2704439718132543,1.5479041916167666,1.210318144134887,1.0869735261373619,1.682098765432099,1.3105461671490288
1968,25.2,12196,51.2,37.9,45.5,0.3861221452650336,34.8,6653319,200.706,59,59,1.4712643678160922,1.089080459770115,1.3074712643678161,3.2268439945173775,9.408863308108145,0.08533372530795198,0.2680949391764761,0.07187489641203841,0.01926929598190096,0.4369018815317288,0.1908832540859648,1.3074712643678161,1.0745209092337642,1.019456147099218,1.5479041916167666,1.210318144134887
1969,26.3,12451,54.1,41.7,49.3,0.3880574307919112,36.7,7174882,202.677,87,60,1.4741144414168936,1.1362397820163488,1.3433242506811987,3.269568939183719,9.429556219952412,0.12772437374423118,0.29514732598811966,0.08711194403793737,0.025710857344423937,0.2680949391764761,0.07187489641203841,1.3433242506811987,1.0910188059331012,1.0260442324247745,1.3074712643678161,1.0745209092337642
1970,27.4,12823,52.4,43.5,54.5,0.3004863446977688,38.8,7686589,205.052,49,61,1.3505154639175259,1.1211340206185567,1.404639175257732,3.3105430133940246,9.458995712459116,0.11434069146541066,0.33978045503997073,0.11545075762716957,0.03922791096126905,0.29514732598811966,0.08711194403793737,1.404639175257732,1.1223792445702598,1.0400074857472477,1.3433242506811987,1.0910188059331012
1971,27.4,13218,52.9,45.5,55.7,0.2671013647517603,40.5,7723561,207.661,57,62,1.306172839506173,1.123456790123457,1.3753086419753087,3.3105430133940246,9.489334816030398,0.11641035184441137,0.3186781728207449,0.10155577783236855,0.03236360971900872,0.33978045503997073,0.11545075762716957,1.3753086419753087,1.1068916566873825,1.0328930069689841,1.404639175257732,1.1223792445702598
1972,28.3,13692,53.4,49.7,52.1,0.2449144064354386,41.8,8146839,209.896,76,63,1.2775119617224882,1.1889952153110048,1.2464114832535886,3.342861804649192,9.524566999650077,0.17310859357187244,0.2202686092286107,0.048518260211506396,0.010687049698980353,0.3186781728207449,0.10155577783236855,1.2464114832535886,1.0497145396548357,1.0107443601926944,1.3753086419753087,1.1068916566873825
1973,27.1,14496,77.1,59.6,89,0.5518638111311047,44.4,7961659,211.909,119,64,1.7364864864864864,1.3423423423423424,2.0045045045045047,3.299533727885655,9.581628028282761,0.29441610463312506,0.6953969002939608,0.48357684893844893,0.33627784180571835,0.2202686092286107,0.048518260211506396,2.0045045045045047,1.6218652064449646,1.3997278737091345,1.2464114832535886,1.0497145396548357
1974,27,14268,72.3,61.3,128.2,0.38290004811607453,49.3,8034339,213.854,76,65,1.4665314401622718,1.2434077079107506,2.6004056795131847,3.295836866004329,9.565774546478782,0.21785576189352138,0.9556674634379253,0.9133003006738782,0.8728113817020998,0.6953969002939608,0.48357684893844893,2.6004056795131847,2.4925350892133937,2.3936308127815273,2.0045045045045047,1.6218652064449646
1975,26.4,14393,81.4,61.9,115.2,0.41410180584075595,53.8,8019673,215.973,120,66,1.513011152416357,1.1505576208178439,2.1412639405204463,3.2733640101522705,9.57449725626267,0.14024671252281168,0.7613962810940522,0.579724296863853,0.441399923692002,0.9556674634379253,0.9133003006738782,2.1412639405204463,1.785546082227571,1.5548824123307108,2.6004056795131847,2.4925350892133937
1976,28.5,14873,76.9,59.9,107.6,0.30121053537931314,56.9,9012071,218.035,184,67,1.3514938488576451,1.0527240773286468,1.89103690685413,3.349904087274605,9.607302767592598,0.05138116398911849,0.6371253065953988,0.40592865630428093,0.2586274196037232,0.7613962810940522,0.579724296863853,1.89103690685413,1.5006954834767767,1.295151166987898,2.1412639405204463,1.785546082227571
