model,instruments,F_robust_first_stage_not_MOP,p_value,n
Z1,pc,3.2451213536354446,0.08001706248810193,40
Z2,pc pc2,5.711559434713727,0.007134117725295181,40
Z3,pc pc2 pc3,5.547619748353115,0.003285753891513693,40
Z4,pc_l1,0.3767858608759406,0.5432977486286146,39
Z5,pc_l1 pc2_l1,7.145158020511328,0.0025675610505919697,39
Z6,exp_pc,15.579211018186099,0.000351764728636251,40
Z7,exp_pc exp_pc2,3.8506269206171835,0.03079497074442099,40
Z8,exp_pc exp_pc2 exp_pc3,6.32095202631843,0.0015918940831510368,40
Z9,exp_pc_l1,2.055647948754534,0.1605167475774821,39
Z10,exp_pc_l1 exp_pc2_l1,7.61476724118093,0.0018505643667873326,39
