term,estimate,std_error,statistic,p_value,model,n,f_robust,f_p_value
(Intercept),5.4203725476303,0.7029775170095589,7.710591614207478,3.927509831451514e-9,Z1,40,3.2451213536349175,0.08001706248812547
y,-0.5438797785422556,0.07288792744887379,-7.46186368001412,8.212970454740119e-9,Z1,40,3.2451213536349175,0.08001706248812547
pb,0.22782799230770104,0.24031192245945188,0.9480511411003453,0.3494244184823825,Z1,40,3.2451213536349175,0.08001706248812547
pc,0.09492043471916418,0.0526919471368836,1.8014220365130758,0.08001706248812548,Z1,40,3.2451213536349175,0.08001706248812547
(Intercept),5.891982465392042,0.6275653743988535,9.388635360955004,4.3020007003171257e-11,Z2,40,5.711559434713527,0.007134117725296269
y,-0.5966231218183724,0.06497500713953254,-9.182347922442487,7.523912938335061e-11,Z2,40,5.711559434713527,0.007134117725296269
pb,0.2037943975813917,0.19280665500787067,1.0569883989381617,0.2977581491152984,Z2,40,5.711559434713527,0.007134117725296269
pc,0.04229223809117069,0.04770462812459156,0.886543711874555,0.38137588927438093,Z2,40,5.711559434713527,0.007134117725296269
pc2,0.24076169014978,0.0770303859571687,3.1255417866353548,0.00355886299570674,Z2,40,5.711559434713527,0.007134117725296269
(Intercept),5.7830422708591325,0.7339676664538609,7.879151269428119,3.5625672678725408e-9,Z3,40,5.547619748354291,0.003285753891509998
y,-0.5856534924543811,0.07581675919826189,-7.724591484092442,5.52436493232572e-9,Z3,40,5.547619748354291,0.003285753891509998
pb,0.20332793859828913,0.1953471720423278,1.040854272281106,0.30528843413193874,Z3,40,5.547619748354291,0.003285753891509998
pc,0.06164276342720959,0.07900234446095862,0.7802649889418435,0.44063342471627176,Z3,40,5.547619748354291,0.003285753891509998
pc2,0.25473337539357355,0.06754257265414597,3.771449108075057,6.20186595523489e-4,Z3,40,5.547619748354291,0.003285753891509998
pc3,-0.04354351151877304,0.13268576330895746,-0.3281701852020281,0.7447955108596971,Z3,40,5.547619748354291,0.003285753891509998
(Intercept),5.561272681276075,0.6930924782838336,8.02385375043507,1.9195065873610974e-9,Z4,39,0.37678586087620625,0.5432977486284738
