model,instruments,F_robust,p_value,N
Z1,pc,6.493654267800196,.015236614,40
Z2,pc pc2,5.725152117294326,.0070614018,40
Z3,pc pc2 pc3,3.987776904471604,.015486257,40
Z4,pc_l1,2.779934165158259,.10437705,39
Z5,pc_l1 pc2_l1,4.101348926612722,.025372189,39
Z6,exp_pc,12.02779021329342,.0013759664,40
Z7,exp_pc exp_pc2,4.484855117170528,.018450269,40
Z8,exp_pc exp_pc2 exp_pc3,4.599940428199243,.0083061429,40
Z9,exp_pc_l1,5.399050814590176,.026080329,39
Z10,exp_pc_l1 exp_pc2_l1,5.945411247393881,.0061066393,39
