model,instruments,beta_p,ci_95,F_eff,c_TSLS_5,c_TSLS_10,rejects_weak_5pct_TSLS,rejects_weak_10pct_TSLS,std_error,conf_low,conf_high,N
Z1,pc,-1.26219591299912,[-2.1774; -0.3470],6.4936543,37.417561,23.108509,0,0,.46693134,-2.1773646,-.3470273,40
Z2,pc pc2,-.5793807359529082,[-0.8387; -0.3200],8.6297998,23.989019,15.21171,0,0,.13232964,-.83874208,-.32001939,40
Z3,pc pc2 pc3,-.5794400512226952,[-0.8355; -0.3234],6.1796999,27.903971,17.088011,0,0,.13064222,-.8354941,-.32338601,40
Z4,pc_l1,-2.281138496328336,[-4.7501; 0.1878],2.7799342,37.417561,23.108509,0,0,1.259675,-4.7500563,.18777908,39
Z5,pc_l1 pc2_l1,-.9460411108512108,[-1.5174; -0.3747],4.0348763,17.341391,11.33309,0,0,.29152706,-1.5174236,-.37465855,39
Z6,exp_pc,-.9477218590169908,[-1.4306; -0.4648],12.02779,37.417561,23.108509,0,0,.2463925,-1.4306422,-.46480143,40
Z7,exp_pc exp_pc2,-.6456587457592373,[-0.8914; -0.3999],6.9864469,23.76618,15.09399,0,0,.12536429,-.89136821,-.39994925,40
Z8,exp_pc exp_pc2 exp_pc3,-.6234082717250984,[-0.9126; -0.3342],6.4496593,23.935381,14.7128,0,0,.14757451,-.91264904,-.33416754,40
Z9,exp_pc_l1,-1.687289215736611,[-3.1518; -0.2228],5.3990507,37.417561,23.108509,0,0,.74721587,-3.1518054,-.222773,39
Z10,exp_pc_l1 exp_pc2_l1,-.8957275326049025,[-1.3485; -0.4430],5.7097111,12.22429,8.3243341,0,0,.23101081,-1.3485004,-.44295466,39
